#species abbreviation, species full name (no spaces), species reference fasta relative to refs_dir
SC-FY, S.cerevisiae_FY, SC-FY/SC-FY.fasta
SC-CEN, S.cerevisiae_CEN.PK, SC-CEN/SC-CEN.fasta
SC-RM, S.cerevisiae_RM11-1A, SC-RM/SC-RM.fasta
SC-SK1, S.cerevisiae_SK1, SC-SK1/SC-SK1.fasta
SP, S.paradoxus, SP/SP.fasta
SM, S.mikatae, SM/SM.fasta
SK, S.kudriavzevii, SK/SK.fasta
SB, S.bayanus, SB/SB.fasta
NC, N.castellii, NC/NC.fasta
LW, L.waltii, LW/LW.fasta
LK, L.kluyverii, LK/LK.fasta
KL, K.lactis, KL/KL.fasta
KW, K.wickerhamii, KW/KW.fasta
EG, A.gossypii, EG/EG.fasta
SS, S.stipitis, SS/SS.fasta
KP, P.pastoris, KP/KP.fasta
#SC-FY, Saccharomyces_cerevisiae_FY, SC-FY/SC-FY.fasta
#SC-CEN, Saccharomyces_cerevisiae_CEN.PK, SC-CEN/SC-CEN.fasta
#SC-RM, Saccharomyces_cerevisiae_RM11-1A, SC-RM/SC-RM.fasta
#SC-SK1, Saccharomyces_cerevisiae_SK1, SC-SK1/SC-SK1.fasta
#SP, Saccharomyces_paradoxus, SP/SP.fasta
#SM, Saccharomyces_mikatae, SM/SM.fasta
#SK, Saccharomyces_kudriavzevii, SK/SK.fasta
#SB, Saccharomyces_bayanus, SB/SB.fasta
#NC, Naumovozyma_castellii, NC/NC.fasta
#LW, Lachancea_waltii, LW/LW.fasta
#LK, Lachancea_kluyverii, LK/LK.fasta
#KL, Kluyveromyces_lactis, KL/KL.fasta
#KW, Kluyveromyces_wickerhamii, KW/KW.fasta
#EG, Ashbya_gossypii, EG/EG.fasta
#SS, Scheffersomyces_stipitis, SS/SS.fasta
#KP, Pichia_pastoris, KP/KP.fasta
